callsign,valid_from,valid_to,days,origin,departure_time,destination,flight_time,flight_rules,aircraft_type,rvsm,equipment,pbn,route,alt,eet,performance,operator,remark
AZU2423,020825,030825,67,SBCF,1045,SBSG,0224,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0456F350 ILPIR UZ72 EDNES UN866 DIMOD DCT TOSAD,,EET/SBRE0033,,,
AZU2423,010825,060825,135,SBCF,1100,SBSG,0224,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0456F350 ILPIR UZ72 EDNES UN866 DIMOD DCT TOSAD,,EET/SBRE0033,,,
AZU2424,020825,030825,67,SBCF,1550,SBIL,0112,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0427F350 KADOR UZ14 DALOX,,EET/SBRE0025,,,
AZU2430,020825,030825,67,SBCF,1100,SBJP,0217,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0448F370 ILPIR UZ23 ANBEX DCT,,EET/SBRE0032,,,
AZU2431,020825,020825,6,SBCF,2040,SBPS,0101,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0423F330 KADOR DCT POSMU DCT OSUNO,,EET/SBRE0017,,,
AZU2432,030825,030825,7,SBCF,1105,SBPA,0206,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0443F380 PUDVA UZ21 VUNOX UZ38 VUKMO,,EET/SBCW0045,,,
AZU2432,310725,310725,4,SBCF,1720,SBPA,0206,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0443F380 PUDVA UZ21 VUNOX UZ38 VUKMO,,EET/SBCW0045,,,
AZU2434,020825,030825,67,SBKP,1615,SBFZ,0302,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0450F380 ISMOB UZ26 BIXAN | N0450F390 UM654 DOTKU,,EET/SBRE0113,,,
AZU2438,030825,030825,7,SBUL,2145,SBRF,0226,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0460F370 AZOIC DCT ILRUM DCT UKMIL DCT PULRI UZ79 MUDAR,,EET/SBRE0046,,,
AZU2438,020825,020825,6,SBUL,2150,SBRF,0226,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0460F370 AZOIC DCT ILRUM DCT UKMIL DCT PULRI UZ79 MUDAR,,EET/SBRE0046,,,
AZU2438,050825,050825,2,SBUL,0800,SBRF,0226,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0460F370 AZOIC DCT ILRUM DCT UKMIL DCT PULRI UZ79 MUDAR,,EET/SBRE0046,,,
AZU2439,020825,020825,6,SBUL,1740,SBMO,0220,IS,A20N/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S1T1, | N0438F370 AZOIC DCT NITGI DCT UBNED DCT EDVIR UZ23 ANDIG DCT,,EET/SBRE0054,,,
AZU2439,030825,030825,7,SBUL,1555,SBMO,0223,IS,E295/M,SW/C,EQPT/SDFGHIRWY,PBN/A1B1C1D1O2S2T1, | N0442F390 AZOIC DCT NITGI DCT UBNED DCT EDVIR UZ23 ANDIG DCT,,EET/SBRE0053,,,
